Text,pos_tagged_words,words_list,new_text,scores,compound,sentiment_vader
is expecting their #covidvaccine generate $33 billion them 2021. they're going donate all profits charity because they aren't it money. that part is joke.,"[('is', 'VBZ'), ('expecting', 'VBG'), ('their', 'PRP$'), ('covidvaccine', 'NN'), ('generate', 'NN'), ('billion', 'CD'), ('them', 'PRP'), ('they', 'PRP'), ('re', 'VBP'), ('going', 'VBG'), ('donate', 'NN'), ('all', 'DT'), ('profits', 'NNS'), ('charity', 'NN'), ('because', 'IN'), ('they', 'PRP'), ('aren', 'VBP'), ('i', 'VB'), ('it', 'PRP'), ('money', 'NN'), ('that', 'IN'), ('part', 'NN'), ('is', 'VBZ'), ('joke', 'NN')]","['expect', 'covidvaccine', 'generate', 'billion', 'go', 'donate', 'profit', 'charity', 'money', 'part', 'joke']",expect covidvaccine generate billion go donate profit charity money part joke,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.7845}",0.7845,positive
pfizer stock 🤑,"[('pfizer', 'NN'), ('stock', 'NN'), ('money', 'NN')]","['pfizer', 'stock', 'money']",pfizer stock money,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"en san francisco, los funcionarios de salud permiten que los residentes que se aplicaron la j&amp;j y que han platicado con sus médicos reciban una vacuna suplemental de pfizer o moderna.","[('in', 'IN'), ('san', 'JJ'), ('francisco', 'JJ'), ('health', 'NN'), ('officials', 'NNS'), ('allow', 'VBP'), ('residents', 'NNS'), ('who', 'WP'), ('have', 'VBP'), ('received', 'VBN'), ('i', 'JJ'), ('amp', 'VBP'), ('i', 'NN'), ('and', 'CC'), ('have', 'VBP'), ('talked', 'VBN'), ('with', 'IN'), ('their', 'PRP$'), ('doctors', 'NNS'), ('to', 'TO'), ('receive', 'VB'), ('a', 'DT'), ('supplemental', 'JJ'), ('pfizer', 'NN'), ('or', 'CC'), ('modern', 'JJ'), ('vaccine', 'NN')]","['san_francisco', 'health', 'official', 'allow', 'resident', 'receive', 'amp', 'talk', 'doctor', 'receive', 'supplemental', 'pfizer', 'modern', 'vaccine']",san_francisco health official allow resident receive amp talk doctor receive supplemental pfizer modern vaccine,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"oigan, no se supone que vacunaron los de 40 con astra zeneca y aquí dice que la segunda dosis pfizer se equivocaron o qué pasa","[('hey', 'NN'), ('they', 'PRP'), ('re', 'VBP'), ('not', 'RB'), ('supposed', 'VBN'), ('to', 'TO'), ('vaccinate', 'VB'), ('forty', 'JJ'), ('year', 'NN'), ('olds', 'NNS'), ('with', 'IN'), ('astra', 'JJ'), ('seneca', 'NN'), ('and', 'CC'), ('here', 'RB'), ('it', 'PRP'), ('says', 'VBZ'), ('that', 'IN'), ('the', 'DT'), ('second', 'JJ'), ('dose', 'JJ'), ('pfizer', 'NN'), ('was', 'VBD'), ('wrong', 'JJ'), ('or', 'CC'), ('what', 'WP'), ('i', 'VBZ'), ('up', 'RP')]","['hey', 'not', 'suppose', 'vaccinate', 'forty', 'year_olds', 'astra_seneca', 'say', 'second', 'dose', 'pfizer', 'wrong']",hey not suppose vaccinate forty year_olds astra_seneca say second dose pfizer wrong,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
i don't think has enough stock. they'll have get make lots more. 👍,"[('i', 'JJ'), ('don', 'VBP'), ('i', 'JJ'), ('think', 'VBP'), ('has', 'VBZ'), ('enough', 'JJ'), ('stock', 'NN'), ('they', 'PRP'), ('all', 'DT'), ('have', 'VBP'), ('get', 'NNS'), ('make', 'VBP'), ('lots', 'NNS'), ('more', 'RBR')]","['think', 'enough', 'stock', 'get', 'make', 'lot']",think enough stock get make lot,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"vaccines wednesday, aug 4 dawson community center 2500 e. commerce sa, tx 78203 9 am – 3 pm pfizer j&amp;j thomas jefferson high school, room 1322 723 donaldson ave sa, tx 78201 1 – 4 pm pfizer j&amp;j locate vaccine your area","[('vaccines', 'NNS'), ('wednesday', 'WRB'), ('aug', 'VBP'), ('four', 'CD'), ('dawson', 'NN'), ('community', 'NN'), ('center', 'NN'), ('e', 'NN'), ('commerce', 'NN'), ('sa', 'NN'), ('to', 'TO'), ('nine', 'CD'), ('am', 'VBP'), ('i', 'JJ'), ('three', 'CD'), ('am', 'VBP'), ('pfizer', 'NN'), ('i', 'NN'), ('amp', 'VBP'), ('i', 'NN'), ('thomas', 'VBP'), ('jefferson', 'NN'), ('high', 'JJ'), ('school', 'NN'), ('room', 'NN'), ('donaldson', 'NN'), ('ave', 'VBP'), ('sa', 'VBN'), ('to', 'TO'), ('one', 'CD'), ('i', 'NN'), ('four', 'CD'), ('am', 'VBP'), ('pfizer', 'NN'), ('i', 'NN'), ('amp', 'VBP'), ('i', 'JJ'), ('locate', 'VBP'), ('vaccine', 'VB'), ('your', 'PRP$'), ('area', 'NN')]","['vaccine', 'wednesday', 'aug', 'four', 'dawson', 'community', 'center', 'e', 'commerce', 'sa', 'nine', 'three', 'pfizer', 'amp', 'thomas', 'jefferson', 'high_school', 'room', 'donaldson', 'ave', 'sa', 'one', 'four', 'pfizer', 'amp', 'locate', 'vaccine', 'area']",vaccine wednesday aug four dawson community center e commerce sa nine three pfizer amp thomas jefferson high_school room donaldson ave sa one four pfizer amp locate vaccine area,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.6124}",0.6124,neutral
pfizer agrees pay $345 million epipen price gouging settlement via,"[('pfizer', 'NN'), ('agrees', 'VBZ'), ('pay', 'VBP'), ('million', 'CD'), ('epipen', 'JJ'), ('price', 'NN'), ('gouging', 'VBG'), ('settlement', 'NN'), ('via', 'IN')]","['pfizer', 'agree', 'pay', 'million', 'epipen', 'price', 'gouging', 'settlement', 'via']",pfizer agree pay million epipen price gouging settlement via,"{'neg': 0.125, 'neu': 0.714, 'pos': 0.161, 'compound': 0.1027}",0.1027,neutral
"pfizer, j&amp;j react covid-19 breakthrough infections if weak president shipping vaccines all over world if they don't work","[('pfizer', 'NN'), ('i', 'NN'), ('amp', 'VBP'), ('i', 'JJ'), ('react', 'NN'), ('covid', 'NN'), ('nineteen', 'JJ'), ('breakthrough', 'NN'), ('infections', 'NNS'), ('if', 'IN'), ('weak', 'JJ'), ('president', 'NN'), ('shipping', 'VBG'), ('vaccines', 'NNS'), ('all', 'DT'), ('over', 'IN'), ('world', 'NN'), ('if', 'IN'), ('they', 'PRP'), ('don', 'VBP'), ('i', 'JJ'), ('work', 'NN')]","['pfizer', 'amp', 'react', 'covid', 'nineteen', 'breakthrough_infection', 'weak', 'president', 'ship', 'vaccine', 'world', 'work']",pfizer amp react covid nineteen breakthrough_infection weak president ship vaccine world work,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative
"bueno, mi me pusieron sinopharm en diciembre y sigo sano, sin haberme contagiado y nada, feliz de la vida. no hagan drama pidiendo su pfizer y vacúnense","[('well', 'RB'), ('they', 'PRP'), ('gave', 'VBD'), ('me', 'PRP'), ('sinopharm', 'NN'), ('in', 'IN'), ('december', 'NN'), ('and', 'CC'), ('i', 'NN'), ('i', 'VBP'), ('still', 'RB'), ('healthy', 'JJ'), ('without', 'IN'), ('having', 'VBG'), ('been', 'VBN'), ('infected', 'VBN'), ('and', 'CC'), ('nothing', 'NN'), ('happy', 'JJ'), ('with', 'IN'), ('life', 'NN'), ('don', 'NN'), ('i', 'JJ'), ('make', 'VBP'), ('drama', 'NN'), ('asking', 'VBG'), ('for', 'IN'), ('your', 'PRP$'), ('pfizer', 'NN'), ('and', 'CC'), ('get', 'VB'), ('vaccinated', 'VBN')]","['well', 'give', 'sinopharm', 'december', 'still', 'healthy', 'without', 'infected', 'nothing', 'happy', 'life', 'make', 'drama', 'ask', 'pfizer', 'get', 'vaccinate']",well give sinopharm december still healthy without infected nothing happy life make drama ask pfizer get vaccinate,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.7003}",-0.7003,negative
tonight @ 🔟 ⚖️a bill that would restrict chid marriages nc is stalled by republican lawmakers 💉local woman shares her experience w #pfizer trial #booster 🧊enjoy cooler temps; when things heat back up #wccb #cltnews,"[('tonight', 'NN'), ('i', 'VB'), ('a', 'DT'), ('bill', 'NN'), ('that', 'WDT'), ('would', 'MD'), ('restrict', 'VB'), ('chid', 'NN'), ('marriages', 'NNS'), ('no', 'DT'), ('is', 'VBZ'), ('stalled', 'VBN'), ('by', 'IN'), ('republican', 'JJ'), ('lawmakers', 'NNS'), ('syringelocal', 'JJ'), ('woman', 'NN'), ('shares', 'NNS'), ('her', 'PRP$'), ('experience', 'NN'), ('i', 'NN'), ('pfizer', 'VBP'), ('trial', 'NN'), ('booster', 'NN'), ('iceenjoy', 'NN'), ('cooler', 'NN'), ('temps', 'NNS'), ('when', 'WRB'), ('things', 'NNS'), ('heat', 'VBP'), ('back', 'RB'), ('up', 'IN'), ('cab', 'NN'), ('clones', 'NNS')]","['tonight', 'bill', 'would', 'restrict', 'chid', 'marriage', 'stall', 'republican', 'lawmaker', 'syringelocal', 'woman', 'share', 'experience', 'pfizer', 'trial', 'booster', 'iceenjoy', 'cooler', 'temp', 'thing', 'heat', 'back', 'cab', 'clone']",tonight bill would restrict chid marriage stall republican lawmaker syringelocal woman share experience pfizer trial booster iceenjoy cooler temp thing heat back cab clone,"{'neg': 0.12, 'neu': 0.82, 'pos': 0.06, 'compound': -0.296}",-0.296,neutral
💉 la administración de alimentos y medicamentos de 🇺🇸 podrá dar autorización completa la vacuna de pfizer contra #covid19 principios del próximo mes. las vacunas hasta el momento sólo cuentan con la autorización el uso de emergencia.,"[('syringe', 'NN'), ('the', 'DT'), ('food', 'NN'), ('and', 'CC'), ('drug', 'NN'), ('administration', 'NN'), ('may', 'MD'), ('give', 'VB'), ('full', 'JJ'), ('authorization', 'NN'), ('pfizer', 'NN'), ('i', 'JJ'), ('vaccine', 'NN'), ('against', 'IN'), ('early', 'JJ'), ('next', 'JJ'), ('month', 'NN'), ('the', 'DT'), ('vaccines', 'NNS'), ('so', 'RB'), ('far', 'RB'), ('only', 'RB'), ('have', 'VBP'), ('emergency', 'NN'), ('use', 'NN'), ('authorization', 'NN')]","['syringe', 'food_drug', 'administration', 'may', 'give', 'full', 'authorization', 'pfizer', 'vaccine', 'early', 'next', 'month', 'vaccine', 'far', 'emergency_use', 'authorization']",syringe food_drug administration may give full authorization pfizer vaccine early next month vaccine far emergency_use authorization,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"2009, obama banned hydroxychlorquin. they went herd immunity via influenza vaccines with prior years corona compositions. i took this image september 2019. new pfizer has sars-cov-2 compositions. shutdown is bunk...","[('obama', 'NN'), ('banned', 'VBD'), ('hydroxychlorquin', 'NN'), ('they', 'PRP'), ('went', 'VBD'), ('herd', 'JJ'), ('immunity', 'NN'), ('via', 'IN'), ('influenza', 'JJ'), ('vaccines', 'NNS'), ('with', 'IN'), ('prior', 'JJ'), ('years', 'NNS'), ('corona', 'VBP'), ('compositions', 'NNS'), ('i', 'VBP'), ('took', 'VBD'), ('this', 'DT'), ('image', 'NN'), ('september', 'VBD'), ('new', 'JJ'), ('pfizer', 'NN'), ('has', 'VBZ'), ('sars', 'VBN'), ('cov', 'JJ'), ('two', 'CD'), ('compositions', 'NNS'), ('shutdown', 'VBP'), ('is', 'VBZ'), ('bunk', 'JJ')]","['obama', 'ban', 'hydroxychlorquin', 'go', 'herd_immunity', 'via', 'influenza', 'vaccine', 'prior', 'year', 'corona', 'composition', 'take', 'image', 'september', 'new', 'pfizer', 'sars_cov', 'two', 'composition', 'shutdown', 'bunk']",obama ban hydroxychlorquin go herd_immunity via influenza vaccine prior year corona composition take image september new pfizer sars_cov two composition shutdown bunk,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative
"amgmt — many new york residents follow cuomo's advice get vaccinated: one, while pfizer vaccine is approved people 16 older, ... 27.5% black or african american, 0.9% hispanic or latino, 0.5% asian, ... view article...","[('ammo', 'NN'), ('i', 'RB'), ('many', 'JJ'), ('new', 'JJ'), ('york', 'NN'), ('residents', 'NNS'), ('follow', 'VBP'), ('como', 'NN'), ('i', 'NN'), ('advice', 'NN'), ('get', 'VBP'), ('one', 'CD'), ('while', 'IN'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('is', 'VBZ'), ('approved', 'VBN'), ('people', 'NNS'), ('sixteen', 'JJ'), ('older', 'JJR'), ('five', 'CD'), ('black', 'JJ'), ('or', 'CC'), ('african', 'JJ'), ('american', 'JJ'), ('zero', 'NN'), ('nine', 'CD'), ('hispanic', 'NN'), ('or', 'CC'), ('latino', 'NN'), ('zero', 'CD'), ('five', 'CD'), ('asian', 'JJ'), ('view', 'NN'), ('article', 'NN')]","['ammo', 'many', 'new_york', 'resident', 'follow', 'como', 'advice', 'get', 'one', 'pfizer', 'vaccine', 'approve', 'people', 'sixteen', 'old', 'five', 'black', 'african', 'american', 'zero', 'nine', 'hispanic', 'latino', 'zero', 'five', 'asian', 'view', 'article']",ammo many new_york resident follow como advice get one pfizer vaccine approve people sixteen old five black african american zero nine hispanic latino zero five asian view article,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4215}",0.4215,neutral
thank you 🙏🏽❤️❤️❤️,"[('thank', 'IN'), ('you', 'PRP'), ('i', 'VBP'), ('i', 'VBP'), ('i', 'VBP')]",['thank'],thank,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,positive
"💉 en 🇺🇸, las personas que se aplicaron la vacuna de johnson&amp;johnson contra #covid19 pueden recibir una dosis suplemental mrna, cómo pfizer o moderna, para aumentar su protección contra el virus y la cepa delta.","[('syringe', 'NN'), ('in', 'IN'), ('people', 'NNS'), ('who', 'WP'), ('have', 'VBP'), ('received', 'VBN'), ('the', 'DT'), ('johnson', 'NN'), ('amp', 'VBZ'), ('johnson', 'JJ'), ('vaccine', 'NN'), ('against', 'IN'), ('can', 'MD'), ('receive', 'VB'), ('a', 'DT'), ('supplemental', 'JJ'), ('dose', 'JJ'), ('mrna', 'NNS'), ('such', 'JJ'), ('as', 'IN'), ('pfizer', 'NN'), ('or', 'CC'), ('modern', 'JJ'), ('to', 'TO'), ('increase', 'VB'), ('their', 'PRP$'), ('protection', 'NN'), ('against', 'IN'), ('the', 'DT'), ('virus', 'NN'), ('and', 'CC'), ('the', 'DT'), ('delta', 'NN'), ('strain', 'NN')]","['syringe', 'people', 'receive', 'johnson', 'amp', 'johnson', 'vaccine', 'receive', 'supplemental', 'dose', 'pfizer', 'modern', 'increase', 'protection', 'virus', 'delta', 'strain']",syringe people receive johnson amp johnson vaccine receive supplemental dose pfizer modern increase protection virus delta strain,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"en méxico cofepris aprobó la vacuna de pfizer para niños de 12 17 años, el problema es que no hay vacunas","[('in', 'IN'), ('mexico', 'JJ'), ('compris', 'NN'), ('approved', 'VBD'), ('the', 'DT'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('for', 'IN'), ('children', 'NNS'), ('twelve', 'VBP'), ('to', 'TO'), ('seventeen', 'VB'), ('years', 'NNS'), ('old', 'JJ'), ('the', 'DT'), ('problem', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('there', 'EX'), ('are', 'VBP'), ('no', 'DT'), ('vaccines', 'NNS')]","['mexico', 'compris', 'approve', 'pfizer', 'vaccine', 'child', 'twelve', 'seventeen', 'year', 'old', 'problem', 'vaccine']",mexico compris approve pfizer vaccine child twelve seventeen year old problem vaccine,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
crecí comiendo hamburguesas del payaso gringo y salchichas de hot dog. me puse mi dos dosis de pfizer sin miedo. 💪🏻,"[('i', 'NN'), ('grew', 'VBD'), ('up', 'RP'), ('eating', 'VBG'), ('gringo', 'NNS'), ('clown', 'JJ'), ('burgers', 'NNS'), ('and', 'CC'), ('hot', 'JJ'), ('dog', 'NN'), ('sausages', 'NNS'), ('i', 'VBP'), ('put', 'VBN'), ('my', 'PRP$'), ('two', 'CD'), ('doses', 'NNS'), ('of', 'IN'), ('pfizer', 'NN'), ('without', 'IN'), ('fear', 'NN')]","['grow', 'eat', 'gringo', 'clown', 'burger', 'hot', 'dog', 'sausage', 'put', 'two', 'dose', 'pfizer', 'without', 'fear']",grow eat gringo clown burger hot dog sausage put two dose pfizer without fear,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.5574}",-0.5574,negative
"fda is aiming give full approval pfizer/biontech's covid-19 vaccine by early september. this move will likely spawn further vaccine mandates. currently, pfizer's covid vaccine is operating under eua people 12 older.","[('fda', 'NN'), ('is', 'VBZ'), ('aiming', 'VBG'), ('give', 'JJ'), ('full', 'JJ'), ('approval', 'NN'), ('pfizer', 'NN'), ('biotech', 'NN'), ('i', 'NN'), ('covid', 'VBP'), ('nineteen', 'JJ'), ('vaccine', 'NN'), ('by', 'IN'), ('early', 'JJ'), ('september', 'NN'), ('this', 'DT'), ('move', 'NN'), ('will', 'MD'), ('likely', 'RB'), ('spawn', 'VB'), ('further', 'JJ'), ('vaccine', 'NN'), ('mandates', 'NNS'), ('currently', 'RB'), ('pfizer', 'VBP'), ('i', 'JJ'), ('covid', 'VBP'), ('vaccine', 'NN'), ('is', 'VBZ'), ('operating', 'VBG'), ('under', 'IN'), ('era', 'NN'), ('people', 'NNS'), ('twelve', 'VBP'), ('older', 'JJR')]","['fda', 'aim', 'give', 'full', 'approval', 'pfizer', 'biotech', 'covid', 'nineteen', 'vaccine', 'early', 'september', 'move', 'likely', 'spawn', 'vaccine', 'mandate', 'currently', 'pfizer', 'covid', 'vaccine', 'operate', 'era', 'people', 'twelve', 'old']",fda aim give full approval pfizer biotech covid nineteen vaccine early september move likely spawn vaccine mandate currently pfizer covid vaccine operate era people twelve old,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4767}",0.4767,positive
"i’m actually asking houdini vaccines, that it disappears doesn’t happen.","[('i', 'NN'), ('i', 'VBP'), ('i', 'VBP'), ('actually', 'RB'), ('asking', 'VBG'), ('houdini', 'NN'), ('vaccines', 'NNS'), ('that', 'IN'), ('it', 'PRP'), ('disappears', 'VBZ'), ('doesn', 'IN'), ('i', 'NN'), ('i', 'VBP'), ('happen', 'VBP')]","['actually', 'ask', 'houdini', 'vaccine', 'disappear', 'happen']",actually ask houdini vaccine disappear happen,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}",-0.34,negative
friend mine who was pfizer vaccine trials is coming up 1 year anniversary her shot. so far she's donated blood it's shown strong covid antibody response. i'll add this when she goes follow up appointment 2 weeks learns more,"[('friend', 'NN'), ('mine', 'NN'), ('who', 'WP'), ('was', 'VBD'), ('pfizer', 'JJ'), ('vaccine', 'JJ'), ('trials', 'NNS'), ('is', 'VBZ'), ('coming', 'VBG'), ('up', 'RP'), ('one', 'CD'), ('year', 'NN'), ('anniversary', 'IN'), ('her', 'PRP$'), ('shot', 'NN'), ('so', 'RB'), ('far', 'RB'), ('she', 'PRP'), ('i', 'VBP'), ('donated', 'VBD'), ('blood', 'NN'), ('it', 'PRP'), ('i', 'VBZ'), ('shown', 'VBN'), ('strong', 'JJ'), ('covid', 'NN'), ('antibody', 'NN'), ('response', 'NN'), ('i', 'NN'), ('all', 'DT'), ('add', 'VBP'), ('this', 'DT'), ('when', 'WRB'), ('she', 'PRP'), ('goes', 'VBZ'), ('follow', 'VB'), ('up', 'RP'), ('appointment', 'JJ'), ('two', 'CD'), ('weeks', 'NNS'), ('learns', 'VBZ'), ('more', 'JJR')]","['friend', 'mine', 'pfizer', 'vaccine', 'trial', 'come', 'one', 'year', 'anniversary', 'shoot', 'far', 'donate', 'blood', 'show', 'strong', 'covid', 'antibody_response', 'add', 'go', 'follow', 'appointment', 'two', 'week', 'learn']",friend mine pfizer vaccine trial come one year anniversary shoot far donate blood show strong covid antibody_response add go follow appointment two week learn,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.7579}",0.7579,positive
"also, taco vendor should market their pico de gallo as pico de pfizer tonight lol","[('also', 'RB'), ('taco', 'JJ'), ('vendor', 'NN'), ('should', 'MD'), ('market', 'NN'), ('their', 'PRP$'), ('pico', 'NN'), ('de', 'RB'), ('gallo', 'CC'), ('as', 'IN'), ('pico', 'NN'), ('de', 'IN'), ('pfizer', 'NN'), ('tonight', 'NN'), ('lol', 'NN')]","['also', 'taco', 'vendor', 'market', 'pico', 'de', 'gallo', 'pico', 'de', 'pfizer', 'tonight', 'lol']",also taco vendor market pico de gallo pico de pfizer tonight lol,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4215}",0.4215,positive
"doesn’t matter. 400 is too many versus natural risks associated with this age group covid. astonishing imagine immune system doing its job, right","[('doesn', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('matter', 'NN'), ('is', 'VBZ'), ('too', 'RB'), ('many', 'JJ'), ('versus', 'JJ'), ('natural', 'JJ'), ('risks', 'NNS'), ('associated', 'VBN'), ('with', 'IN'), ('this', 'DT'), ('age', 'NN'), ('group', 'NN'), ('covid', 'VBD'), ('astonishing', 'VBG'), ('imagine', 'NN'), ('immune', 'NN'), ('system', 'NN'), ('doing', 'VBG'), ('its', 'PRP$'), ('job', 'NN'), ('right', 'NN')]","['matter', 'many', 'versus', 'natural', 'risk', 'associate', 'age_group', 'covid', 'astonishing', 'imagine', 'immune_system', 'job', 'right']",matter many versus natural risk associate age_group covid astonishing imagine immune_system job right,"{'neg': 0.078, 'neu': 0.706, 'pos': 0.216, 'compound': 0.4019}",0.4019,positive
join community vax team this friday 8/6 clark park 6-8pm. stop by free vaccine pfizer j&amp;j &amp; stay showing movie “black panther” park some prizes. or just chat about vaccines 💉,"[('join', 'NN'), ('community', 'NN'), ('van', 'VBP'), ('team', 'NN'), ('this', 'DT'), ('friday', 'JJ'), ('eight', 'CD'), ('six', 'CD'), ('clark', 'NN'), ('park', 'NN'), ('six', 'CD'), ('up', 'IN'), ('stop', 'NN'), ('by', 'IN'), ('free', 'JJ'), ('vaccine', 'NN'), ('pfizer', 'NN'), ('i', 'NN'), ('amp', 'VBP'), ('i', 'NN'), ('amp', 'VBP'), ('stay', 'NN'), ('showing', 'VBG'), ('movie', 'NN'), ('i', 'JJ'), ('black', 'JJ'), ('panther', 'NN'), ('i', 'NN'), ('park', 'VBP'), ('some', 'DT'), ('prizes', 'NNS'), ('or', 'CC'), ('just', 'RB'), ('chat', 'WP'), ('about', 'IN'), ('vaccines', 'NNS'), ('syringe', 'NN')]","['join', 'community', 'van', 'team', 'friday', 'eight', 'clark', 'park', 'stop', 'free', 'vaccine', 'pfizer', 'amp', 'amp', 'stay', 'show', 'movie', 'black', 'panther', 'park', 'prize', 'chat', 'vaccine', 'syringe']",join community van team friday eight clark park stop free vaccine pfizer amp amp stay show movie black panther park prize chat vaccine syringe,"{'neg': 0.058, 'neu': 0.716, 'pos': 0.225, 'compound': 0.743}",0.743,positive
"f.d.a. aims give final approval pfizer vaccine by early next month: “i just have not sensed sense urgency f.d.a. full approval,” dr. ashish k. jha, dean brown university school public health, said.","[('i', 'NN'), ('i', 'VBP'), ('a', 'DT'), ('aims', 'NNS'), ('give', 'VBP'), ('final', 'JJ'), ('approval', 'NN'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('by', 'IN'), ('early', 'JJ'), ('next', 'JJ'), ('month', 'NN'), ('i', 'NN'), ('i', 'NN'), ('just', 'RB'), ('have', 'VBP'), ('not', 'RB'), ('sensed', 'VBN'), ('sense', 'NN'), ('urgency', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('a', 'DT'), ('full', 'JJ'), ('approval', 'NN'), ('i', 'NN'), ('do', 'VBP'), ('ashish', 'VB'), ('i', 'VB'), ('ha', 'JJ'), ('dean', 'JJ'), ('brown', 'NN'), ('university', 'NN'), ('school', 'NN'), ('public', 'JJ'), ('health', 'NN'), ('said', 'VBD')]","['aim', 'give', 'final', 'approval', 'pfizer', 'vaccine', 'early', 'next', 'month', 'not', 'sense', 'sense', 'urgency', 'full', 'approval', 'ashish', 'ha', 'dean', 'brown', 'university', 'school', 'public', 'health', 'say']",aim give final approval pfizer vaccine early next month not sense sense urgency full approval ashish ha dean brown university school public health say,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4767}",0.4767,positive
they did this because they're betting pfizer will be authorized by thanksgiving 5 12s. but they don't get it takes couple weeks after second dose effectiveness. this is result poli sci comms dudebros with mpas mbas running ops.,"[('they', 'PRP'), ('did', 'VBD'), ('this', 'DT'), ('because', 'IN'), ('they', 'PRP'), ('re', 'VBP'), ('betting', 'VBG'), ('pfizer', 'NN'), ('will', 'MD'), ('be', 'VB'), ('authorized', 'VBN'), ('by', 'IN'), ('thanksgiving', 'VBG'), ('five', 'CD'), ('is', 'VBZ'), ('but', 'CC'), ('they', 'PRP'), ('don', 'VBP'), ('i', 'JJ'), ('get', 'VBP'), ('it', 'PRP'), ('takes', 'VBZ'), ('couple', 'JJ'), ('weeks', 'NNS'), ('after', 'IN'), ('second', 'JJ'), ('dose', 'JJ'), ('effectiveness', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('result', 'JJ'), ('poli', 'JJ'), ('sci', 'NN'), ('comms', 'NNS'), ('dudebros', 'VBP'), ('with', 'IN'), ('maps', 'NNS'), ('mas', 'NNS'), ('running', 'VBG'), ('ops', 'NNS')]","['bet', 'pfizer', 'authorize', 'thanksgive', 'five', 'get', 'take', 'couple', 'week', 'second', 'dose', 'effectiveness', 'result', 'poli', 'sci', 'comms', 'dudebro', 'map', 'ma', 'run', 'op']",bet pfizer authorize thanksgive five get take couple week second dose effectiveness result poli sci comms dudebro map ma run op,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
